brivla	1post	2pre	2post	3pre	4pre	5pre	noun1	noun2	noun3	noun4	noun5	adv1	adv2	adv3	adv4	adv5	adj1	adj2	adj3	adj4	adj5
tarmi	is the (ideal) shape 	of					shape	having a shape													
tarti	behaves 	in manner						behaviour, behavior													
taske	thirsts 	for					thirsty														
tasmi	is the way or manner 	in which	happens				manner														
tasta	is a taste 	of					taste														
tatpi	is tired 	of					tired	tiring													
tatru	is a breast 	of					breast														
tavla	talks 	to		about	in language				subject of a talk												
taxfu	is a garment 	worn by		serving purpose			garment														
tcaci	is a custom or habit 	of					custom, habit	having a habit													
tcadu	is a city or town 	of area					city, town														
tcana	is a station, node 	for component	of a network				network station, network node	network with a station													
tcati	is some tea 	brewed from					tea	leaf of tea													
tcemi	is compared 	with																			
tcena	extends 	to range		in	from range		stretchy														
tcica	tricks or misleads			into			misleading event	tricked, misled													
tcidu	reads			from medium			reader	text being read	document being read												
tcika	is the time 	of		happening on day	at place or timezone		time of day			time zone											
tcila	is a detail or feature 	of					detail, feature	detailed, having features													
tcima	is a detail of weather 	at place					weather														
tcini	are the circumstances 	of					situation, circumstances														
tcita	is a label or tag 	of		showing information			tag, label	tagged, labelled	information on a tag												
temci	is the elapsed time 	from		to																	
tenfa	is the exponential result 	of		to the power of			exponential result	exponential base	exponent												
tengu	is a texture 	of					texture	having a texture													
terdi	is the home planet 	of inhabitants					home planet														
terpa	fears						fearful	causing fear													
terto	is a trillion, 10^12 	of		in																	
tigni	performs			for audience			performer	performance	audience of a performance												
tigra	is a tiger 	of species					tiger														
tikpa	kicks			at location	using foot																
tilju	is heavy or massive 	in					heavy														
tinbe	obeys 	rule		made by				rule obeyed													
tinci	is tin						tin														
tinsa	is rigid, stiff 	in direction		against force			rigid, stiff														
tirna	hears							heard													
tirse	is iron						iron														
tisna	becomes full	of material																			
titla	is sweet or sugary 	to					sweet, sugary														
tivni	is a video camera or TV center 	streaming		via medium	to TV receiver		streaming video camera, streaming TV center	streamed video													
tixnu	is a daughter 	of					daughter	parent of a daughter													
toknu	is an oven 	for heating					oven	baked in an oven													
tolcri	finds			at				found (in possesion)													
toldi	is a butterfly or moth 	of species					butterfly, moth														
tolna'e	confirms, is evidence 	for					evidence														
tolpo'u	is functional, usable						functional, usable														
toltinsa	is flexible 	in direction		under force			flexible														
tonga	is a tone 	of pitch					tone	tone pitch													
tordu	is short 	in dimension					short														
torni	twists 	under force					twisting														
tornozelo	is an ankle 	of					ankle														
torta	is some cake, torte, tart, pie, flan 	made of/containing ingredients					cake, torte, tart, pie, flan														
traduki	translates			to			translator, interpreter	text translated													
traji	is utmost/superlative 	in		among			utmost, most														
trano	is nitrogen						nitrogen														
trati	is taut, strained 	in direction					taut, strained														
trene	is a train 	of cars					train (of cars)	car of a train, carriage (of a train)													
tricu	is a tree 	of species					tree														
trina	attracts			with			attractive	attracted													
trixe	is behind			in frame of reference																	
troci	tries 	to do						something tried													
tsali	is strong 	in property					strong														
tsani	is the sky 	at place					sky														
tsapi	is a spice or seasoning 	causing flavor					spice, seasoning	flavour of a seasoning, flavor of a seasoning													
tsiju	is a seed, fertilized cell 	of organism		for producing offspring			seed, fertilized cell														
tsina	is a platform or stage 	at		supporting			platform, stage														
tsuku	arrives 	at		via				place of arrival													
tubnu	is a tube 	made of		with the hole made of			tube	material of a tube	content of a tube												
tugni	agrees 	with		that																	
tujli	is a tulip 	of species					tulip														
tumla	is a parcel of land 	at					terrain, parcel of land														
tunba	is a sibling 	of		by bond			sibling														
tunka	is copper						copper														
tunlo	swallows																				
tunta	pokes, stabs, pricks																				
tuple	is a leg 	of					leg														
turko	is Turkish 	in					Turkish														
turni	governs 	people or domain					governor														
tutci	is a tool 	used for					tool	purpose of a tool													
tutra	is territory 	controlled by					territory														
uenzi	is a text 	in language					text	language of a text													
ultime	is the finale/final/last part 	leading up to completion of					finale, final part														
vacmurse	is the twilight 	of day					twilight														
vacri	is air 	from place		composed of			air														
vajni	is important 	to		in			important														
valsi	is a word 	meaning		in language			word	meaning of a word													
vamji	is the value of			for observer	for use		value	having value													
vamtu	vomits							vomit													
vanbi	is part of the conditions	under which	exists or happens				part of an environment	environment													
vanci	is an evening 	of day					evening														
vanjba	is a grape 	of plant					grape														
vanju	is wine 	from grapes					wine	wine grape													
vasru	is a container or vessel 	containing					container, vessel	contents of a vessel, contained													
vasxu	breathes							breathed													
vecnu	sells goods or service			to	for goods or service		seller, vendor	sold		price of something sold											
vedli	remembers experience						witness														
venfu	takes revenge 	against		for wrong	by doing				reason for revenge	act of vengeance											
vensa	is spring 	of year		at location			springtime														
verba	is a child 	aged		immature in			child														
vibna	is a vagina 	of					vagina														
vidni	is a screen, video monitor 	for function					screen, video monitor	function of a screen													
vidru	is a virus 	of species		capable of infecting			virus														
vifne	is fresh or unspoiled						fresh, unspoiled														
vikmi	excretes waste			from	via			excreted waste, excrement													
viknu	is viscous, of thick consistency						viscous, thick (viscous)														
vimcu	removes or subtracts			from	leaving			removed		remainder after removal											
vindu	is poisonous or toxic 	to					toxic, poisonous														
vinji	is an aircraft 	for carrying					airplane, aircraft	cargo of an aircraft													
vipsi	is a vice 	in		to principal			subordinate, vice-president														
virnu	is brave 	in					brave	done bravely													
viska	sees							seen													
vitci	is intermittent 	in					irregular, intermittent														
vitke	visits, is a guest 	of					guest														
vitno	is permanent 	in property					permanent														
vlagi	is a vulva 	of					vulva														
vlaste	is a dictionary 	with words					dictionary														
vlile	is violent						violence														
vlina	is a logical disjunction 	stating that	is true, and or				logical disjunction	an alternative of a disjunction	another alternative of a disjunction												
vlipa	has the power 	to bring about					powerful														
vofli	flies 	using means																			
voksa	is the voice 	of					voice														
volve	returns 	to		from																	
vorme	is a doorway 	between					doorway														
vraga	is a lever 	for doing		with fulcrum	and arm		lever	purpose of a lever	fulcrum of a lever	arm of a lever											
vreji	is a record 	of		about	in medium		record (file), file (record)	recorded information	information storage medium, data carrier												
vreta	rests or reclines 	on																			
vrici	is miscellaneous or assorted 	in					miscellaneous														
vrude	is virtuous 	in					virtuous														
vrusi	is a taste or flavor 	of					taste, flavor	having a taste													
vukro	is Ukrainian 	in					Ukrainian														
xabju	dwells or lives in						inhabitant	home													
xadba	is half 	of					half														
xadni	is a body or corpse 	of					body (corpse)														
xagji	is hungry 	for					hungry														
xagri	is a pipe, oboe, saxophone, clarinet, reed musical instrument						reed instrument, pipe, oboe, saxophone, clarinet	reed (of a musical instrument)													
xajmi	is funny 	to		in			funny														
xaksu	consumes or uses up						consumer	consumed													
xalbo	is flippant or non-serious 	about					flippant, non-serious														
xalka	is alcohol 	of components					alcohol														
xalni	panics 	about					alarmist, panic-monger	panic situation													
xamgu	is good 	for					good														
xampo	is		amperes																		
xamsi	is a sea or ocean 	at place					sea														
xance	is a hand 	of					hand														
xanka	is anxious, worries	about					nervous	nervous situation													
xanri	is imagined	by					imaginary event														
xanto	is an elephant 	of species					elephant														
xarci	is a weapon 	for use against		used by			weapon														
xarju	is a pig 	of species					pig														
xarnu	stubbornly opposes			about			obstinate														
xasli	is a donkey 	of species					donkey														
xasne	is sweat 	from					sweat		sweat gland												
xatra	is a letter 	to		from	with content		letter (message)	recipient of letter	sender of a letter	contents of a letter											
xatsi	is 10 to the negative eighteenth 	of		in																	
xazdo	is Asian 	in					Asiatic														
xebni	hates or despises																				
xebro	is Hebrew 	in					Hebrew														
xecto	is a hundred 	of		in																	
xedja	is a jaw 	of					jaw														
xekri	is black						black														
xelso	is Greek 	in					something Greek														
xendo	is kind 	to		in doing			kind (generous, warm-hearted)		act of kindness												
xenru	regrets							regretted													
xexso	is 10 to the eighteenth 	of		in																	
xindo	is Hindi 	in					belonging to Hindi														
xinmo	is some ink 	of color		used by writing device			ink	color of ink	ink pen												
xirma	is a horse 	of species					horse														
xislu	is a wheel 	of vehicle					wheel	wheeled													
xispo	is Hispanic 	in					something Hispanic														
xlali	is bad 	for					bad														
xlura	lures or influences			into																	
xorbo	pertains to Xorban 	in					Xorban														
xotli	is a hotel or inn						hotel														
xrabo	is Arabic 	in					Arabic														
xrani	injures																				
xriso	is Christian 	in					Christian														
xruba	is buckwheat 	of species					buckwheat														
xruki	is a turkey 	of species					turkey														
xrula	is a flower 	of plant or species					flower														
xukmi	is the chemical			with purity			chemical														
xunre	is red						red														
xurdo	is Urdu 	in					belonging to Urdu														
xusra	claims, asserts 	that		is true			claimant	claim													
xutla	is smooth						smooth														
zabna	is superb/admirable 	in					superb, admirable														
zajba	is a gymnast 	performing					gymnast	gymnastic feat													
zalvi	grinds			into powder					powder produced by grinding												
zanru	approves 	of																			
zarci	is a market 	selling					market (trading site)														
zargu	is a buttock 	of					buttocks														
zasni	is temporary 	in property					temporary														
zasti	exists or is real 	to		under metaphysics			existing														
zbabu	is soap						soap														
zbani	is a bay 	of coast					bay	coast, shore													
zbasu	makes or assembles			from parts			assembler														
zbepi	is a pedestal, stand 	supporting					pedestal, stand														
zdani	is a home 	of					home	inhabitant													
zdile	is entertaining 	to		in			amusing	amused													
zekri	is a crime 	to					crime														
zenba	increases 	in		by amount			increasing														
zepti	is 10 to the negative twenty-first 	of		in																	
zetro	is 10 to the twenty-first 	of		in																	
zgana	observes			using sense			observer, spectator														
zgike	is music performed 	by					music														
tolxanka	is calm, tranquil, serene 	about					calm, tranquil, serene														
zgipli	plays music		on a musical instrument				musician		musical instrument												
zi'evla	is a free-form word						zi'evla														
zifre	is at liberty or free 	to do or be																			
zigzagi	is a line with the shape of a zigzag						zigzag														
zildukse	is in excess, is too much 	for	to take place				excess														
zinki	is zinc						zinc														
zirpu	is purple						purple														
zivle	invests resources			into	expecting profit		investor	invested		expected profit of an investment											
zmadu	exceeds or is more 	than		in	by amount		more	less													
zmiku	is automatic 	in function					robot, automatic	function of a robot													
zukte	takes action			for purpose			actor	taken action	purpose of action												
zumri	is corn or maize 	of species					maize														
zungi	feels guilty 	about																			
zunle	is to the left 	of		in frame of reference			left (in direction)														
zunti	interferes with or disrupts			due to				hindered, disrupted													
zutse	sits 	on																			
zvati	is present 	at																			
